stat_Year,stateName,reportName,farmType,category,categoryValue,category2,category2Value,variableId,variableName,variableSequence,variableLevel,variableGroup,variableGroupId,variableUnit,variableDesc,variableIsInValid,estimate,median,statistic,rse,unreliable_Est,dec_Disp,series,serie_Dim,series2,serie2_Dim,series_Element,serie_Element_Dim,series2_Element,serie2_Element_Dim,fips_St,survey_Abb,survey_Dim,subject_Num,subject_Dim,topic_Abb,variable,topic_Dim,report_Num,report_Dim,state
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,kount,Farms,10,1,,,Number,Estimated number of farms.,False,185346,,TOTAL,0.0,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",kount,Farms,"{'abb': 'kount', 'header': 'Farms', 'desc': 'Estimated number of farms.', 'seq': 10, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 1, 'report_Num': 1, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 15, 'unit_Dim': None, 'unit_Desc': 'Number', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'KOUNT Farms'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,kount,Farms,10,1,,,Number,Estimated number of farms.,False,183192,,TOTAL,0.0,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",kount,Farms,"{'abb': 'kount', 'header': 'Farms', 'desc': 'Estimated number of farms.', 'seq': 10, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 1, 'report_Num': 1, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 15, 'unit_Dim': None, 'unit_Desc': 'Number', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'KOUNT Farms'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,1278748,683897.0,MEAN,2.3,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",igcfi,Gross cash farm income,"{'abb': 'igcfi', 'header': 'Gross cash farm income', 'desc': 'For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.', 'seq': 20, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 1, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'IGCFI Gross cash farm income'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,igcfi,Gross cash farm income,20,1,,,Dollars per farm,"For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",False,1284411,710470.0,MEAN,3.1,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",igcfi,Gross cash farm income,"{'abb': 'igcfi', 'header': 'Gross cash farm income', 'desc': 'For farms participating in government programs, gross cash farm income is the total amount of cash received by the farm operation from the sale of agricultural products, services rendered, or government payments received during a given calendar year.', 'seq': 20, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 1, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'IGCFI Gross cash farm income'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,iliv,Livestock income,30,2,,,Dollars per farm,"The value of all livestock and poultry sold from the farm operation net of any marketing charges.  All sales of livestock through marketing contracts or payments received from prior years' contracts are also included.  For integrated operations, which do not sell the livestock but pass them on to another phase of the operation, an estimate of the value of the livestock moving through the operation is captured as sales.",False,373441,0.0,MEAN,4.5,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",iliv,Livestock income,"{'abb': 'iliv', 'header': 'Livestock income', 'desc': ""The value of all livestock and poultry sold from the farm operation net of any marketing charges.  All sales of livestock through marketing contracts or payments received from prior years' contracts are also included.  For integrated operations, which do not sell the livestock but pass them on to another phase of the operation, an estimate of the value of the livestock moving through the operation is captured as sales."", 'seq': 30, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'ILIV Livestock income'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,iliv,Livestock income,30,2,,,Dollars per farm,"The value of all livestock and poultry sold from the farm operation net of any marketing charges.  All sales of livestock through marketing contracts or payments received from prior years' contracts are also included.  For integrated operations, which do not sell the livestock but pass them on to another phase of the operation, an estimate of the value of the livestock moving through the operation is captured as sales.",False,426172,0.0,MEAN,7.4,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",iliv,Livestock income,"{'abb': 'iliv', 'header': 'Livestock income', 'desc': ""The value of all livestock and poultry sold from the farm operation net of any marketing charges.  All sales of livestock through marketing contracts or payments received from prior years' contracts are also included.  For integrated operations, which do not sell the livestock but pass them on to another phase of the operation, an estimate of the value of the livestock moving through the operation is captured as sales."", 'seq': 30, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'ILIV Livestock income'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,icrop,Crop sales,40,2,,,Dollars per farm,The amount received from cash sales and marketing or forward contracts for all crops plus the difference between Commodity Credit Corporation crop placements and redemptions.  Payments received for crops produced in previous years or delivered under prior year's marketing contracts are included.,False,679633,411500.0,MEAN,3.8,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",icrop,Crop sales,"{'abb': 'icrop', 'header': 'Crop sales', 'desc': ""The amount received from cash sales and marketing or forward contracts for all crops plus the difference between Commodity Credit Corporation crop placements and redemptions.  Payments received for crops produced in previous years or delivered under prior year's marketing contracts are included."", 'seq': 40, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'ICROP Crop sales'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,icrop,Crop sales,40,2,,,Dollars per farm,The amount received from cash sales and marketing or forward contracts for all crops plus the difference between Commodity Credit Corporation crop placements and redemptions.  Payments received for crops produced in previous years or delivered under prior year's marketing contracts are included.,False,739038,450000.0,MEAN,2.8,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",icrop,Crop sales,"{'abb': 'icrop', 'header': 'Crop sales', 'desc': ""The amount received from cash sales and marketing or forward contracts for all crops plus the difference between Commodity Credit Corporation crop placements and redemptions.  Payments received for crops produced in previous years or delivered under prior year's marketing contracts are included."", 'seq': 40, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'ICROP Crop sales'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2015,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,igovt,Government payments,50,2,,,Dollars per farm,"Gross value of direct government payments received by farm operations during the calendar year. Programs for which payments are received include: direct payments, counter-cyclical payments, loan deficiency payments (LDPs), marketing loan gains, peanut quota buyout program, milk income loss contract payments, disaster payments, conservation reserve program (CRP), wetlands reserve program (WRP), environmental quality incentive program (EQIP), and all other Federal and State programs.",False,25283,6500.0,MEAN,7.5,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",igovt,Government payments,"{'abb': 'igovt', 'header': 'Government payments', 'desc': 'Gross value of direct government payments received by farm operations during the calendar year. Programs for which payments are received include: direct payments, counter-cyclical payments, loan deficiency payments (LDPs), marketing loan gains, peanut quota buyout program, milk income loss contract payments, disaster payments, conservation reserve program (CRP), wetlands reserve program (WRP), environmental quality incentive program (EQIP), and all other Federal and State programs.', 'seq': 50, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'IGOVT Government payments'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
2016,All survey states,Farm Business Income Statement,Farm Operator Households,Collapsed Farm Typology,Commercial farms,All Farms,TOTAL,igovt,Government payments,50,2,,,Dollars per farm,"Gross value of direct government payments received by farm operations during the calendar year. Programs for which payments are received include: direct payments, counter-cyclical payments, loan deficiency payments (LDPs), marketing loan gains, peanut quota buyout program, milk income loss contract payments, disaster payments, conservation reserve program (CRP), wetlands reserve program (WRP), environmental quality incentive program (EQIP), and all other Federal and State programs.",False,29361,14248.0,MEAN,3.3,0,0,grp,"{'abb': 'grp', 'header': 'Collapsed Farm Typology', 'desc': 'Data shown are classified into one of three exclusive categories (typologies) of farms. The typology is based on the occupation of the principal operator and the gross cash farm income of the farming operation.', 'seq': 2, 'element_Dim': None, 'terms': 'GRP Collapsed Farm Typology'}",,"{'abb': 'farm', 'header': 'All Farms', 'desc': None, 'seq': 1, 'element_Dim': None, 'terms': 'FARM All Farms'}",3,"{'id': 3, 'invalid': False, 'name': 'Commercial farms', 'desc': 'Farms with $350,000 or more gross cash farm income as well as nonfamily farms', 'serie_Abb': None, 'terms': '3 Commercial farms'}",0,"{'id': 0, 'invalid': False, 'name': 'TOTAL', 'desc': None, 'serie_Abb': None, 'terms': '0 TOTAL'}",00,finance,"{'abb': 'finance', 'header': 'Farm finances'}",3,"{'num': 3, 'header': 'Farm Operator Households', 'description': 'The household associated with the primary operator of the farm business', 'invalid': False, 'survey_Abb': 'finance', 'survey_Dim': None, 'terms': '3 Farm Operator Households'}",igovt,Government payments,"{'abb': 'igovt', 'header': 'Government payments', 'desc': 'Gross value of direct government payments received by farm operations during the calendar year. Programs for which payments are received include: direct payments, counter-cyclical payments, loan deficiency payments (LDPs), marketing loan gains, peanut quota buyout program, milk income loss contract payments, disaster payments, conservation reserve program (CRP), wetlands reserve program (WRP), environmental quality incentive program (EQIP), and all other Federal and State programs.', 'seq': 50, 'old_Seq': None, 'invalid': False, 'group': None, 'level': 2, 'report_Num': 2, 'report_Dim': None, 'reportHeader': None, 'survey_Abb': 'finance', 'unit_Num': 88, 'unit_Dim': None, 'unit_Desc': 'Dollars per farm', 'unit': None, 'group_Id': None, 'group_Header': None, 'sub_Report_Id': None, 'sub_Report_Name': None, 'terms': 'IGOVT Government payments'}",2,"{'num': 2, 'header': 'Farm Business Income Statement', 'description': 'Contains information on farm revenues, expenses and net income', 'terms': '2 Farm Business Income Statement'}","{'id': '00', 'code': 'ALL', 'name': 'All survey states', 'terms': '00 ALL All survey states'}"
